"Res.id","Sp","Treat","Res.type","sp.fit"
"C.a","O","M","Com",6.54534966
"C.a","V","M","Com",5.605802066
"C.a","A","M","Com",6.049733455
"C.a","S","M","Com",7.160845906
"C.a","P","M","Com",5.480638923
"C.b","O","M","Com",6.156978985
"C.b","V","M","Com",7.321188556
"C.b","A","M","Com",4.158883083
"C.b","S","M","Com",6.410174882
"C.b","P","M","Com",4.718498871
"C.c","O","M","Com",5.768320995
"C.c","V","M","Com",6.915723448
"C.c","A","M","Com",5.298317366
"C.c","S","M","Com",7.042286172
"C.c","P","M","Com",4.276666119
"C.d","O","M","Com",5.81711116
"C.d","V","M","Com",6.899723107
"C.d","A","M","Com",5.123963979
"C.d","S","M","Com",7.090076835
"C.d","P","M","Com",5.257495372
"C.e","O","M","Com",6.03068526
"C.e","V","M","Com",4.477336814
"C.e","A","M","Com",4.477336814
"C.e","S","M","Com",5.66296048
"C.e","P","M","Com",5.717027701
"C.f","O","M","Com",6.533788838
"C.f","V","M","Com",6.939253946
"C.f","A","M","Com",5.480638923
"C.f","S","M","Com",5.793013608
"C.f","P","M","Com",4.33073334
"C.g","O","M","Com",6.086774727
"C.g","V","M","Com",6.238324625
"C.g","A","M","Com",5.337538079
"C.g","S","M","Com",4.969813299
"C.g","P","M","Com",4.852030264
"C.h","O","M","Com",6.206575926
"C.h","V","M","Com",6.622736324
"C.h","A","M","Com",5.337538079
"C.h","S","M","Com",6.54534966
"C.h","P","M","Com",6.190315406
"C.i","O","M","Com",6.858565034
"C.i","V","M","Com",4.718498871
"C.i","A","M","Com",4.718498871
"C.i","S","M","Com",7.670428522
"C.i","P","M","Com",4.718498871
"C.j","O","M","Com",6.396929655
"C.j","V","M","Com",7.090076835
"C.j","A","M","Com",5.634789603
"C.j","S","M","Com",7.200425
"C.j","P","M","Com",5.298317366
"C.k","O","M","Com",6.068425588
"C.k","V","M","Com",6.068425588
"C.k","A","M","Com",4.158883083
"C.k","S","M","Com",7.555905093
"C.k","P","M","Com",4.477336814
"C.l","O","M","Com",6.423246963
"C.l","V","M","Com",5.690359454
"C.l","A","M","Com",5.605802066
"C.l","S","M","Com",7.853993087
"C.l","P","M","Com",5.298317366
"C.a","O","C","Com",6.281999688
"C.a","V","C","Com",6.625771227
"C.a","A","C","Com",2.618438042
"C.a","S","C","Com",6.866933284
"C.a","P","C","Com",5.5088098
"C.b","O","C","Com",6.281999688
"C.b","V","C","Com",6.489639053
"C.b","A","C","Com",4.758504206
"C.b","S","C","Com",5.914274908
"C.b","P","C","Com",5.66296048
"C.c","O","C","Com",6.215750303
"C.c","V","C","Com",6.379638158
"C.c","A","C","Com",4.815662619
"C.c","S","C","Com",7.318918408
"C.c","P","C","Com",4.227875955
"C.d","O","C","Com",5.391026764
"C.d","V","C","Com",6.737475217
"C.d","A","C","Com",4.410197511
"C.d","S","C","Com",7.19829042
"C.d","P","C","Com",5.221127728
"C.e","O","C","Com",5.914274908
"C.e","V","C","Com",7.090076836
"C.e","A","C","Com",3.871201011
"C.e","S","C","Com",6.987885895
"C.e","P","C","Com",5.221127728
"C.f","O","C","Com",5.857116494
"C.f","V","C","Com",6.344131469
"C.f","A","C","Com",4.869729841
"C.f","S","C","Com",7.156399478
"C.f","P","C","Com",3.940193882
"C.g","O","C","Com",6.35610766
"C.g","V","C","Com",6.052425247
"C.g","A","C","Com",4.815662619
"C.g","S","C","Com",7.25316703
"C.g","P","C","Com",2.618438042
"C.h","O","C","Com",5.686490977
"C.h","V","C","Com",7.59171755
"C.h","A","C","Com",5.103344692
"C.h","S","C","Com",7.049254841
"C.h","P","C","Com",4.564348191
"C.i","O","C","Com",6.036164726
"C.i","V","C","Com",6.935926156
"C.i","A","C","Com",5.796491873
"C.i","S","C","Com",6.173786104
"C.i","P","C","Com",4.17658266
"C.j","O","C","Com",5.950642552
"C.j","V","C","Com",7.151037535
"C.j","A","C","Com",5.016333315
"C.j","S","C","Com",6.769477948
"C.j","P","C","Com",3.797093039
"C.k","O","C","Com",6.173786104
"C.k","V","C","Com",7.000464677
"C.k","A","C","Com",5.016333315
"C.k","S","C","Com",7.748336757
"C.k","P","C","Com",4.633341063
"C.l","O","C","Com",6.173786104
"C.l","V","C","Com",6.859764795
"C.l","A","C","Com",5.753932258
"C.l","S","C","Com",6.457890355
"C.l","P","C","Com",3.02390315
"C.a","O","An","Com",6.319740016
"C.a","V","An","Com",6.67022299
"C.a","A","An","Com",5.421798423
"C.a","S","An","Com",6.084173945
"C.a","P","An","Com",5.103344692
"C.b","O","An","Com",5.968342129
"C.b","V","An","Com",7.233558559
"C.b","A","An","Com",5.5088098
"C.b","S","An","Com",6.643789733
"C.b","P","An","Com",4.969813299
"C.c","O","An","Com",5.796491873
"C.c","V","An","Com",6.51025834
"C.c","A","An","Com",5.421798423
"C.c","S","An","Com",6.695975486
"C.c","P","An","Com",3.429368258
"C.d","O","An","Com",6.099678131
"C.d","V","An","Com",7.167037877
"C.d","A","An","Com",5.588852508
"C.d","S","An","Com",7.584773077
"C.d","P","An","Com",5.536208774
"C.e","O","An","Com",6.436150368
"C.e","V","An","Com",6.902024604
"C.e","A","An","Com",5.060785078
"C.e","S","An","Com",7.025157289
"C.e","P","An","Com",4.122515439
"C.f","O","An","Com",6.187970739
"C.f","V","An","Com",7.061089299
"C.f","A","An","Com",4.410197511
"C.f","S","An","Com",7.025157289
"C.f","P","An","Com",3.871201011
"C.g","O","An","Com",6.379638158
"C.g","V","An","Com",6.800488185
"C.g","A","An","Com",4.122515439
"C.g","S","An","Com",5.451651386
"C.g","P","An","Com",5.731953351
"C.h","O","An","Com",5.480638923
"C.h","V","An","Com",5.292586692
"C.h","A","An","Com",4.323186134
"C.h","S","An","Com",7.000464677
"C.h","P","An","Com",5.292586692
"C.i","O","An","Com",6.144798567
"C.i","V","An","Com",5.81711116
"C.i","A","An","Com",5.1833874
"C.i","S","An","Com",7.450743801
"C.i","P","An","Com",5.5088098
"C.j","O","An","Com",6.019635424
"C.j","V","An","Com",6.294738714
"C.j","A","An","Com",5.292586692
"C.j","S","An","Com",7.788922037
"C.j","P","An","Com",4.527980547
"C.k","O","An","Com",5.614170316
"C.k","V","An","Com",6.099678131
"C.k","A","An","Com",5.5088098
"C.k","S","An","Com",6.987885895
"C.k","P","An","Com",5.221127728
"C.l","O","An","Com",6.281999688
"C.l","V","An","Com",6.908897483
"C.l","A","An","Com",5.451651386
"C.l","S","An","Com",7.635717879
"C.l","P","An","Com",4.758504206
