"Evo_line","Sp","Coev","fit"
"CA","V","Com",5.69035945402406
"CB","V","Com",2.484906649488
"CC","V","Com",3.58351893815611
"CD","V","Com",4.60517018568809
"CE","V","Com",4.71849887099509
"CF","V","Com",4.71849887099509
"CG","V","Com",4.43081679854331
"CH","V","Com",5.35658627437201
"CI","V","Com",5.46383180472561
"CJ","V","Com",5.14749447651345
"CK","V","Com",5.29831736624804
"CL","V","Com",4.27666611871606
"MA","V","Mono",6.32793678342919
"MB","V","Mono",5.21493575730899
"MC","V","Mono",5.48063892304199
"MD","V","Mono",5.48063892304199
"ME","V","Mono",5.27811465893052
"MF","V","Mono",4.43081679854331
"MG","V","Mono",4.78749174248205
"MH","V","Mono",5.85220247947447
"MI","V","Mono",4.91265488543605
"MJ","V","Mono",5.51342874586498
"MK","V","Mono",5.54517744417956
"ML","V","Mono",5.87493073055203
"AN1","V","Anc",NA
"AN2","V","Anc",5.04985600694954
"AN3","V","Anc",4.27666611871606
"AN4","V","Anc",2.77258872193978
"AN5","V","Anc",4.71849887099509
"AN6","V","Anc",NA
"AN7","V","Anc",5.07517381493383
"AN8","V","Anc",3.46573590249973
"AN9","V","Anc",5.14749447651345
"AN10","V","Anc",4.75359019080636
"AN11","V","Anc",5.23644196252995
"AN12","V","Anc",5.31811999354422
"CA","P","Com",6.65929391938364
"CB","P","Com",7.20637729117225
"CC","P","Com",6.76157276850406
"CD","P","Com",6.32793678342919
"CE","P","Com",6.48004456162665
"CF","P","Com",6.53958595531767
"CG","P","Com",6.31354804597709
"CH","P","Com",6.02102334904953
"CI","P","Com",4.969813299276
"CJ","P","Com",5.4971682249932
"CK","P","Com",5.29831736624804
"CL","P","Com",5.33753807940132
"MA","P","Mono",6.49828214917643
"MB","P","Mono",NA
"MC","P","Mono",6.39024066676535
"MD","P","Mono",6.65415251988322
"ME","P","Mono",7.11963563771764
"MF","P","Mono",5.92958914308989
"MG","P","Mono",6.79794041267493
"MH","P","Mono",6.34212141842115
"MI","P","Mono",6.56807791111198
"MJ","P","Mono",6.30627528664802
"MK","P","Mono",6.78445706233764
"ML","P","Mono",6.63856778886652
"AN1","P","Anc",6.50428817323665
"AN2","P","Anc",6.71901315408526
"AN3","P","Anc",6.77536609063639
"AN4","P","Anc",6.44888939384686
"AN5","P","Anc",6.49828214917643
"AN6","P","Anc",5.96100533932327
"AN7","P","Anc",5.95064255228773
"AN8","P","Anc",6.23048144727848
"AN9","P","Anc",6.50428817323665
"AN10","P","Anc",6.33505425119806
"AN11","P","Anc",6.18208490641663
"AN12","P","Anc",6.65929391938364
"CA","A","Com",6.42324696323352
"CB","A","Com",7.29709100486042
"CC","A","Com",6.5792512117101
"CD","A","Com",6.58479139208572
"CE","A","Com",6.65415251988322
"CF","A","Com",6.7093043399583
"CG","A","Com",6.30627528664802
"CH","A","Com",5.92958914308989
"CI","A","Com",6.80239476302431
"CJ","A","Com",7.08002649962259
"CK","A","Com",6.66440902005041
"CL","A","Com",6.85856503449137
"MA","A","Mono",6.69456205822109
"MB","A","Mono",7.03174125846313
"MC","A","Mono",7.15773548394991
"MD","A","Mono",7.15461535661366
"ME","A","Mono",6.73815249429596
"MF","A","Mono",7.29979736645816
"MG","A","Mono",7.19142932973638
"MH","A","Mono",6.87935580416044
"MI","A","Mono",6.75693238894755
"MJ","A","Mono",6.68461172736793
"MK","A","Mono",6.83733281438559
