"sp","treat","comm","count","total"
"O","C","C.a.Com",156,732
"V","C","C.a.Com",220,732
"A","C","C.a.Com",4,732
"S","C","C.a.Com",280,732
"P","C","C.a.Com",72,732
"O","C","C.b.Com",156,574
"V","C","C.b.Com",192,574
"A","C","C.b.Com",34,574
"S","C","C.b.Com",108,574
"P","C","C.b.Com",84,574
"O","C","C.c.Com",146,814
"V","C","C.c.Com",172,814
"A","C","C.c.Com",36,814
"S","C","C.c.Com",440,814
"P","C","C.c.Com",20,814
"O","C","C.d.Com",64,778
"V","C","C.d.Com",246,778
"A","C","C.d.Com",24,778
"S","C","C.d.Com",390,778
"P","C","C.d.Com",54,778
"O","C","C.e.Com",108,842
"V","C","C.e.Com",350,842
"A","C","C.e.Com",14,842
"S","C","C.e.Com",316,842
"P","C","C.e.Com",54,842
"O","C","C.f.Com",102,695
"V","C","C.f.Com",166,695
"A","C","C.f.Com",38,695
"S","C","C.f.Com",374,695
"P","C","C.f.Com",15,695
"O","C","C.g.Com",168,744
"V","C","C.g.Com",124,744
"A","C","C.g.Com",36,744
"S","C","C.g.Com",412,744
"P","C","C.g.Com",4,744
"O","C","C.h.Com",86,1076
"V","C","C.h.Com",578,1076
"A","C","C.h.Com",48,1076
"S","C","C.h.Com",336,1076
"P","C","C.h.Com",28,1076
"O","C","C.i.Com",122,677
"V","C","C.i.Com",300,677
"A","C","C.i.Com",96,677
"S","C","C.i.Com",140,677
"P","C","C.i.Com",19,677
"O","C","C.j.Com",112,795
"V","C","C.j.Com",372,795
"A","C","C.j.Com",44,795
"S","C","C.j.Com",254,795
"P","C","C.j.Com",13,795
"O","C","C.k.Com",140,1210
"V","C","C.k.Com",320,1210
"A","C","C.k.Com",44,1210
"S","C","C.k.Com",676,1210
"P","C","C.k.Com",30,1210
"O","C","C.l.Com",140,702
"V","C","C.l.Com",278,702
"A","C","C.l.Com",92,702
"S","C","C.l.Com",186,702
"P","C","C.l.Com",6,702
"O","M","C.a.Mono",128,550
"V","M","C.a.Mono",50,550
"A","M","C.a.Mono",14,550
"S","M","C.a.Mono",280,550
"P","M","C.a.Mono",78,550
"O","M","C.b.Mono",176,546
"V","M","C.b.Mono",60,546
"A","M","C.b.Mono",18,546
"S","M","C.b.Mono",278,546
"P","M","C.b.Mono",14,546
"O","M","C.c.Mono",208,440
"V","M","C.c.Mono",72,440
"A","M","C.c.Mono",86,440
"S","M","C.c.Mono",52,440
"P","M","C.c.Mono",22,440
"O","M","C.d.Mono",62,420
"V","M","C.d.Mono",94,420
"A","M","C.d.Mono",6,420
"S","M","C.d.Mono",244,420
"P","M","C.d.Mono",14,420
"O","M","C.e.Mono",120,554
"V","M","C.e.Mono",184,554
"A","M","C.e.Mono",98,554
"S","M","C.e.Mono",124,554
"P","M","C.e.Mono",28,554
"O","M","C.f.Mono",170,584
"V","M","C.f.Mono",102,584
"A","M","C.f.Mono",18,584
"S","M","C.f.Mono",202,584
"P","M","C.f.Mono",92,584
"O","M","C.g.Mono",156,630
"V","M","C.g.Mono",182,630
"A","M","C.g.Mono",26,630
"S","M","C.g.Mono",242,630
"P","M","C.g.Mono",24,630
"O","M","C.h.Mono",78,476
"V","M","C.h.Mono",98,476
"A","M","C.h.Mono",34,476
"S","M","C.h.Mono",234,476
"P","M","C.h.Mono",32,476
"O","M","C.i.Mono",156,756
"V","M","C.i.Mono",100,756
"A","M","C.i.Mono",30,756
"S","M","C.i.Mono",444,756
"P","M","C.i.Mono",26,756
"O","M","C.j.Mono",178,846
"V","M","C.j.Mono",112,846
"A","M","C.j.Mono",34,846
"S","M","C.j.Mono",468,846
"P","M","C.j.Mono",54,846
"O","M","C.k.Mono",150,556
"V","M","C.k.Mono",208,556
"A","M","C.k.Mono",26,556
"S","M","C.k.Mono",122,556
"P","M","C.k.Mono",50,556
