"comm","clone","Sp","Treat","fitness"
"C.a","a1","O","symp",6.281999688
"C.a","a2","V","symp",6.625771227
"C.a","a3","A","symp",2.618438042
"C.a","a4","S","symp",6.866933284
"C.a","a5","P","symp",5.5088098
"C.b","b1","O","symp",6.281999688
"C.b","b2","V","symp",6.489639053
"C.b","b3","A","symp",4.758504206
"C.b","b4","S","symp",5.914274908
"C.b","b5","P","symp",5.66296048
"C.c","c1","O","symp",6.215750303
"C.c","c2","V","symp",6.379638158
"C.c","c3","A","symp",4.815662619
"C.c","c4","S","symp",7.318918408
"C.c","c5","P","symp",4.227875955
"C.d","d1","O","symp",5.391026764
"C.d","d2","V","symp",6.737475217
"C.d","d3","A","symp",4.410197511
"C.d","d4","S","symp",7.19829042
"C.d","d5","P","symp",5.221127728
"C.e","e1","O","symp",5.914274908
"C.e","e2","V","symp",7.090076836
"C.e","e3","A","symp",3.871201011
"C.e","e4","S","symp",6.987885895
"C.e","e5","P","symp",5.221127728
"C.f","f1","O","symp",5.857116494
"C.f","f2","V","symp",6.344131469
"C.f","f3","A","symp",4.869729841
"C.f","f4","S","symp",7.156399478
"C.f","f5","P","symp",3.940193882
"C.g","g1","O","symp",6.35610766
"C.g","g2","V","symp",6.052425247
"C.g","g3","A","symp",4.815662619
"C.g","g4","S","symp",7.25316703
"C.g","g5","P","symp",2.618438042
"C.h","h1","O","symp",5.686490977
"C.h","h2","V","symp",7.59171755
"C.h","h3","A","symp",5.103344692
"C.h","h4","S","symp",7.049254841
"C.h","h5","P","symp",4.564348191
"C.i","i1","O","symp",6.036164726
"C.i","i2","V","symp",6.935926156
"C.i","i3","A","symp",5.796491873
"C.i","i4","S","symp",6.173786104
"C.i","i5","P","symp",4.17658266
"C.j","j1","O","symp",5.950642552
"C.j","j2","V","symp",7.151037535
"C.j","j3","A","symp",5.016333315
"C.j","j4","S","symp",6.769477948
"C.j","j5","P","symp",3.797093039
"C.k","k1","O","symp",6.173786104
"C.k","k2","V","symp",7.000464677
"C.k","k3","A","symp",5.016333315
"C.k","k4","S","symp",7.748336757
"C.k","k5","P","symp",4.633341063
"C.l","l1","O","symp",6.173786104
"C.l","l2","V","symp",6.859764795
"C.l","l3","A","symp",5.753932258
"C.l","l4","S","symp",6.457890355
"C.l","l5","P","symp",3.02390315
"C.a","a1","O","allo",7.118247712
"C.a","a2","V","allo",6.67022299
"C.a","a3","A","allo",6.457890355
"C.a","a4","S","allo",7.167037877
"C.a","a5","P","allo",5.775438463
"C.b","b1","O","allo",6.859764795
"C.b","b2","V","allo",6.852544547
"C.b","b3","A","allo",6.036164726
"C.b","b4","S","allo",6.895104161
"C.b","b5","P","allo",5.257495372
"C.c","c1","O","allo",6.084173945
"C.c","c2","V","allo",6.687464796
"C.c","c3","A","allo",5.81711116
"C.c","c4","S","allo",7.314362591
"C.c","c5","P","allo",5.796491873
"C.d","d1","O","allo",6.307317496
"C.d","d2","V","allo",7.267625114
"C.d","d3","A","allo",5.985733872
"C.d","d4","S","allo",6.550263675
"C.d","d5","P","allo",5.359278066
"C.e","e1","O","allo",6.678881053
"C.e","e2","V","allo",7.084346161
"C.e","e3","A","allo",4.490240219
"C.e","e4","S","allo",5.391026764
"C.e","e5","P","allo",5.292586692
"C.f","f1","O","allo",6.269096283
"C.f","f2","V","allo",7.619023
"C.f","f3","A","allo",5.480638923
"C.f","f4","S","allo",7.309785924
"C.f","f5","P","allo",5.103344692
"C.g","g1","O","allo",6.881117919
"C.g","g2","V","allo",7.19829042
"C.g","g3","A","allo",4.644391
"C.g","g4","S","allo",6.753604599
"C.g","g5","P","allo",4.969813299
"C.h","h1","O","allo",6.114945604
"C.h","h2","V","allo",7.789869
"C.h","h3","A","allo",5.391026764
"C.h","h4","S","allo",6.929237168
"C.h","h5","P","allo",4.758504206
"C.i","i1","O","allo",5.81711116
"C.i","i2","V","allo",6.745572427
"C.i","i3","A","allo",5.614170316
"C.i","i4","S","allo",7.619023
"C.i","i5","P","allo",4.323186134
"C.j","j1","O","allo",6.307317496
"C.j","j2","V","allo",6.859764795
"C.j","j3","A","allo",6.002828306
"C.j","j4","S","allo",6.67022299
"C.j","j5","P","allo",5.588852508
"C.k","k1","O","allo",5.709480496
"C.k","k2","V","allo",6.859764795
"C.k","k3","A","allo",4.122515439
"C.k","k4","S","allo",7.534762657
"C.k","k5","P","allo",4.969813299
"C.l","l1","O","allo",6.201956981
"C.l","l2","V","allo",7.22859577
"C.l","l3","A","allo",5.709480496
"C.l","l4","S","allo",7.434679198
"C.l","l5","P","allo",3.717050331
